Team ID,Nickname,Team City,Year Founded,Team Name,Abbreviation,Team State,Abbreviation,Arena,Area Capacity,Owner,General Manager,Head Coach,Development League Affliation,Facebook,Instagram,Twitter,Team Active Until
1610612766,Hornets,Charlotte,1988,Charlotte Hornets,CHA,North Carolina,,,,,,,,,,,
1610612737,Hawks,Atlanta,1949,,,,ATL,State Farm Arena,18729.0,Tony Ressler,Travis Schlenk,Nate McMillan,Erie Bayhawks,https://www.facebook.com/hawks,https://instagram.com/atlhawks,https://twitter.com/ATLHawks,
1610612738,Celtics,Boston,1946,,,,BOS,TD Garden,18624.0,Wyc Grousbeck,Danny Ainge,Brad Stevens,Maine Red Claws,https://www.facebook.com/bostonceltics,https://instagram.com/celtics,https://twitter.com/celtics,2019
1610612739,Cavaliers,Cleveland,1970,,,,CLE,Rocket Mortgage FieldHouse,20562.0,Dan Gilbert,Koby Altman,JB Bickerstaff,Canton Charge,https://www.facebook.com/Cavs,https://instagram.com/cavs,https://twitter.com/cavs,2019
1610612740,Pelicans,New Orleans,2002,,,,NOP,Smoothie King Center,,Tom Benson,Trajan Langdon,Stan Van Gundy,No Affiliate,https://www.facebook.com/PelicansNBA,https://instagram.com/pelicansnba,https://twitter.com/PelicansNBA,
1610612741,Bulls,Chicago,1966,,,,CHI,United Center,21711.0,Jerry Reinsdorf,Arturas Karnisovas,Billy Donovan,Windy City Bulls,https://www.facebook.com/chicagobulls,https://instagram.com/chicagobulls,https://twitter.com/chicagobulls,2019
1610612742,Mavericks,Dallas,1980,,,,DAL,American Airlines Center,19200.0,Mark Cuban,Donnie Nelson,Rick Carlisle,Texas Legends,https://www.facebook.com/dallasmavs,https://instagram.com/dallasmavs,https://twitter.com/dallasmavs,2019
1610612743,Nuggets,Denver,1976,,,,DEN,Ball Arena,,Stan Kroenke,Tim Connelly,Michael Malone,No Affiliate,https://www.facebook.com/DenverNuggets,https://instagram.com/nuggets,https://twitter.com/nuggets,2019
1610612744,Warriors,Golden State,1946,,,,GSW,Chase Center,,Joe Lacob,Bob Myers,Steve Kerr,Santa Cruz Warriors,https://www.facebook.com/warriors,https://instagram.com/warriors,https://twitter.com/warriors,
1610612745,Rockets,Houston,1967,,,,HOU,Toyota Center,18104.0,Tilman Fertitta,Rafael Stone,Stephen Silas,Rio Grande Valley Vipers,https://www.facebook.com/houstonrockets,https://instagram.com/houstonrockets,https://twitter.com/HoustonRockets,
1610612746,Clippers,Los Angeles,1970,,,,LAC,STAPLES Center,19060.0,Steve Ballmer,Michael Winger,Tyronn Lue,Agua Caliente Clippers of Ontario,https://www.facebook.com/LAClippers,https://instagram.com/laclippers,https://twitter.com/LAClippers,
1610612747,Lakers,Los Angeles,1948,,,,LAL,STAPLES Center,19060.0,Jerry Buss Family Trust,Rob Pelinka,Frank Vogel,South Bay Lakers,https://www.facebook.com/losangeleslakers,https://instagram.com/lakers,https://twitter.com/Lakers,
1610612748,Heat,Miami,1988,,,,MIA,AmericanAirlines Arena,19600.0,Micky Arison,Pat Riley,Erik Spoelstra,Sioux Falls Skyforce,https://www.facebook.com/MiamiHeat,https://instagram.com/miamiheat,https://twitter.com/MiamiHEAT,2019
1610612749,Bucks,Milwaukee,1968,,,,MIL,Fiserv Forum,17500.0,Wesley Edens & Marc Lasry,Jon Horst,Mike Budenholzer,Wisconsin Herd,https://www.facebook.com/milwaukeebucks,https://instagram.com/bucks,https://twitter.com/Bucks,2019
1610612750,Timberwolves,Minnesota,1989,,,,MIN,Target Center,19356.0,Glen Taylor,Scott Layden,Chris Finch,Iowa Wolves,https://www.facebook.com/MNTimberwolves,https://instagram.com/timberwolves,https://twitter.com/Timberwolves,2019
1610612751,Nets,Brooklyn,1976,,,,BKN,Barclays Center,,Joe Tsai,Sean Marks,Steve Nash,Long Island Nets,https://www.facebook.com/BrooklynNets,https://instagram.com/brooklynnets,https://twitter.com/BrooklynNets,
1610612752,Knicks,New York,1946,,,,NYK,Madison Square Garden,19763.0,Cablevision (James Dolan),Leon Rose,Tom Thibodeau,Westchester Knicks,https://www.facebook.com/NYKnicks,https://instagram.com/nyknicks,https://twitter.com/nyknicks,2019
1610612753,Magic,Orlando,1989,,,,ORL,Amway Center,0.0,Rick DeVos,John Hammond,Steve Clifford,Lakeland Magic,https://www.facebook.com/OrlandoMagic,https://instagram.com/orlandomagic,https://twitter.com/OrlandoMagic,2019
1610612754,Pacers,Indiana,1976,,,,IND,Bankers Life Fieldhouse,18345.0,Herb Simon,Kevin Pritchard,Nate Bjorkgren,Fort Wayne Mad Ants,https://www.facebook.com/pacers,https://instagram.com/pacers,https://twitter.com/Pacers,2019
1610612755,76ers,Philadelphia,1949,,,,PHI,Wells Fargo Center,,Joshua Harris,Elton Brand,Doc Rivers,Delaware Blue Coats,https://www.facebook.com/Sixers,https://instagram.com/sixers,https://twitter.com/Sixers,
1610612756,Suns,Phoenix,1968,,,,PHX,Phoenix Suns Arena,,Robert Sarver,James Jones,Monty Williams,Northern Arizona Suns,https://www.facebook.com/suns,https://instagram.com/suns,https://twitter.com/Suns,2019
1610612757,Trail Blazers,Portland,1970,,,,POR,Moda Center,19980.0,Paul Allen,Neil Olshey,Terry Stotts,No Affiliate,https://www.facebook.com/trailblazers,https://instagram.com/trailblazers,https://twitter.com/trailblazers,2019
1610612758,Kings,Sacramento,1948,,,,SAC,Golden 1 Center,17500.0,Vivek Ranadive,Monte McNair,Luke Walton,Stockton Kings,https://www.facebook.com/sacramentokings,https://instagram.com/sacramentokings,https://twitter.com/SacramentoKings,
1610612759,Spurs,San Antonio,1976,,,,SAS,AT&T Center,18694.0,Peter Holt,Brian Wright,Gregg Popovich,Austin Spurs,https://www.facebook.com/Spurs,https://instagram.com/spurs,https://twitter.com/spurs,2019
1610612760,Thunder,Oklahoma City,1967,,,,OKC,Chesapeake Energy Arena,,Clay Bennett,Sam Presti,Mark Daigneault,Oklahoma City Blue,https://www.facebook.com/OKCThunder,https://instagram.com/okcthunder,https://twitter.com/okcthunder,
1610612761,Raptors,Toronto,1995,,,,TOR,Amalie Arena,,Maple Leaf Sports and Entertainment,Masai Ujiri,Nick Nurse,Raptors 905,https://www.facebook.com/TorontoRaptors,https://instagram.com/raptors,https://twitter.com/Raptors,2019
1610612762,Jazz,Utah,1974,,,,UTA,Vivint Arena,,Ryan Smith,Dennis Lindsey,Quin Snyder,Salt Lake City Stars,https://www.facebook.com/utahjazz,https://instagram.com/utahjazz,https://twitter.com/utahjazz,
1610612763,Grizzlies,Memphis,1995,,,,MEM,FedExForum,18119.0,Robert Pera,Zach Kleiman,Taylor Jenkins,Memphis Hustle,https://www.facebook.com/MemphisGrizzlies,https://instagram.com/memgrizz,https://twitter.com/memgrizz,
1610612764,Wizards,Washington,1961,,,,WAS,Capital One Arena,20647.0,Ted Leonsis,Tommy Sheppard,Scott Brooks,Capital City Go-Go,https://www.facebook.com/Wizards,https://instagram.com/washwizards,https://twitter.com/WashWizards,
1610612765,Pistons,Detroit,1948,,,,DET,Little Caesars Arena,,Tom Gores,Ed Stefanski,Dwane Casey,Grand Rapids Drive,https://www.facebook.com/detroitpistons,https://instagram.com/detroitpistons,https://twitter.com/DetroitPistons,
1610612766,Hornets,Charlotte,1988,,,,CHA,Spectrum Center,19026.0,Michael Jordan,Mitch Kupchak,James Borrego,Greensboro Swarm,https://www.facebook.com/hornets,https://instagram.com/hornets,https://twitter.com/hornets,2001
1610612737,Hawks,Atlanta,1968,,,,,,,,,,,,,,2019
1610612737,Hawks,St. Louis,1955,,,,,,,,,,,,,,1967
1610612737,Hawks,Milwaukee,1951,,,,,,,,,,,,,,1954
1610612737,Blackhawks,Tri-Cities,1949,,,,,,,,,,,,,,1950
1610612740,Pelicans,New Orleans,2013,,,,,,,,,,,,,,2019
1610612740,Hornets,New Orleans,2007,,,,,,,,,,,,,,2012
1610612740,Hornets,New Orleans/Oklahoma City,2005,,,,,,,,,,,,,,2006
1610612740,Hornets,New Orleans,2002,,,,,,,,,,,,,,2004
1610612744,Warriors,Golden State,1971,,,,,,,,,,,,,,2019
1610612744,Warriors,San Francisco,1962,,,,,,,,,,,,,,1970
1610612744,Warriors,Philadelphia,1946,,,,,,,,,,,,,,1961
1610612745,Rockets,Houston,1971,,,,,,,,,,,,,,2019
1610612745,Rockets,San Diego,1967,,,,,,,,,,,,,,1970
1610612746,Clippers,Los Angeles,1984,,,,,,,,,,,,,,2019
1610612746,Clippers,San Diego,1978,,,,,,,,,,,,,,1983
1610612746,Braves,Buffalo,1970,,,,,,,,,,,,,,1977
1610612747,Lakers,Los Angeles,1960,,,,,,,,,,,,,,2019
1610612747,Lakers,Minneapolis,1948,,,,,,,,,,,,,,1959
1610612751,Nets,Brooklyn,2012,,,,,,,,,,,,,,2019
1610612751,Nets,New Jersey,1977,,,,,,,,,,,,,,2011
1610612751,Nets,New York,1976,,,,,,,,,,,,,,1976
1610612755,76ers,Philadelphia,1963,,,,,,,,,,,,,,2019
1610612755,Nationals,Syracuse,1949,,,,,,,,,,,,,,1962
1610612758,Kings,Sacramento,1985,,,,,,,,,,,,,,2019
1610612758,Kings,Kansas City,1975,,,,,,,,,,,,,,1984
1610612758,Kings,Kansas City-Omaha,1972,,,,,,,,,,,,,,1974
1610612758,Royals,Cincinnati,1957,,,,,,,,,,,,,,1971
1610612758,Royals,Rochester,1948,,,,,,,,,,,,,,1956
1610612760,Thunder,Oklahoma City,2008,,,,,,,,,,,,,,2019
1610612760,SuperSonics,Seattle,1967,,,,,,,,,,,,,,2007
1610612762,Jazz,Utah,1979,,,,,,,,,,,,,,2019
1610612762,Jazz,New Orleans,1974,,,,,,,,,,,,,,1978
1610612763,Grizzlies,Memphis,2001,,,,,,,,,,,,,,2019
1610612763,Grizzlies,Vancouver,1995,,,,,,,,,,,,,,2000
1610612764,Wizards,Washington,1997,,,,,,,,,,,,,,2019
1610612764,Bullets,Washington,1974,,,,,,,,,,,,,,1996
1610612764,Bullets,Capital,1973,,,,,,,,,,,,,,1973
1610612764,Bullets,Baltimore,1963,,,,,,,,,,,,,,1972
1610612764,Zephyrs,Chicago,1962,,,,,,,,,,,,,,1962
1610612764,Packers,Chicago,1961,,,,,,,,,,,,,,1961
1610612765,Pistons,Detroit,1957,,,,,,,,,,,,,,2019
1610612765,Pistons,Ft. Wayne Zollner,1948,,,,,,,,,,,,,,1956
1610612766,Hornets,Charlotte,2014,,,,,,,,,,,,,,2019
1610612766,Bobcats,Charlotte,2004,,,,,,,,,,,,,,2013
